brand,model,year,price_in_euro,power_ps,transmission_type,fuel_type,mileage_in_km
fiat,Fiat Ducato,2009.0,7600.0,101.0,Manual,Diesel,263196.0
volvo,Volvo XC60,2018.0,36720.0,235.0,Automatic,Diesel,102928.0
audi,Audi A6,2008.0,7999.0,177.0,Manual,Petrol,153800.0
maserati,Maserati Levante,2018.0,57777.0,349.0,Automatic,Petrol,53000.0
honda,Honda CR-V,2018.0,28490.0,193.0,Automatic,Petrol,70125.0
mazda,Mazda 2,2022.0,24990.0,92.0,Automatic,Hybrid,4140.0
peugeot,Peugeot 108,2021.0,13900.0,72.0,Manual,Petrol,16340.0
mazda,Mazda CX-3,2019.0,22650.0,150.0,Automatic,Petrol,25100.0
jaguar,Jaguar F-Pace,2018.0,35000.0,241.0,Automatic,Diesel,77061.0
mercedes-benz,Mercedes-Benz GLC 350,2018.0,38480.0,258.0,Automatic,Diesel,162808.0
mazda,Mazda CX-3,2019.0,17480.0,121.0,Automatic,Petrol,66151.0
ssangyong,SsangYong Korando,2016.0,9450.0,150.0,Manual,Diesel,102500.0
land-rover,Land Rover Discovery Sport,2022.0,47489.0,200.0,Automatic,Petrol,14700.0
ssangyong,SsangYong Tivoli,2022.0,29880.0,163.0,Automatic,Petrol,9500.0
smart,smart forTwo,2005.0,4999.0,61.0,Automatic,Petrol,77000.0
porsche,Porsche Cayenne,2017.0,39890.0,262.0,Automatic,Diesel,133934.0
nissan,Nissan Qashqai+2,2013.0,7285.0,131.0,Manual,Diesel,295527.0
dacia,Dacia Sandero,2022.0,15460.0,91.0,Manual,Petrol,9.0
hyundai,Hyundai KONA,2021.0,32990.0,204.0,Automatic,Electric,42500.0
seat,SEAT Arona,2021.0,18395.0,116.0,Manual,Petrol,52215.0
aston-martin,Aston Martin DB7,2004.0,31980.0,416.0,Automatic,Petrol,32000.0
saab,Saab 93,2001.0,1950.0,150.0,Manual,Petrol,230700.0
cadillac,Cadillac XT4,2022.0,43890.0,230.0,Automatic,Petrol,7500.0
skoda,Skoda Superb,2020.0,25690.0,190.0,Automatic,Diesel,92700.0
dacia,Dacia Logan,2016.0,8090.0,75.0,Manual,Petrol,64554.0
mitsubishi,Mitsubishi I-MiEV,2015.0,9590.0,48.0,Automatic,Electric,32387.0
smart,smart forTwo,2012.0,4500.0,61.0,Automatic,Petrol,151000.0
skoda,Skoda Citigo,2013.0,7990.0,75.0,Manual,Petrol,76500.0
jeep,Jeep Compass,2022.0,39890.0,239.0,Automatic,Hybrid,10.0
mercedes-benz,Mercedes-Benz C 220,2013.0,13000.0,170.0,Manual,Diesel,195453.0
mazda,Mazda CX-5,2019.0,26950.0,194.0,Automatic,Petrol,41600.0
bmw,BMW 428,2014.0,21900.0,245.0,Automatic,Petrol,93800.0
bmw,BMW M5,2018.0,68888.0,600.0,Automatic,Petrol,76992.0
isuzu,Isuzu D-Max,2017.0,25999.0,163.0,Automatic,Diesel,90000.0
ssangyong,SsangYong REXTON,2021.0,39990.0,203.0,Automatic,Diesel,43500.0
bmw,BMW 320,2016.0,18850.0,184.0,Manual,Petrol,136770.0
volkswagen,Volkswagen ID.3,2021.0,32780.0,204.0,Automatic,Electric,20500.0
honda,Honda HR-V,2017.0,17990.0,131.0,Manual,Petrol,66260.0
mazda,Mazda 6,2016.0,16950.0,175.0,Automatic,Diesel,102000.0
audi,Audi RS Q3,2018.0,25980.0,310.0,Automatic,Petrol,144670.0
seat,SEAT Leon,2017.0,15350.0,150.0,Automatic,Diesel,118700.0
dodge,Dodge RAM,2023.0,65900.0,401.0,Automatic,LPG,50.0
honda,Honda Civic,2018.0,35900.0,320.0,Manual,Petrol,37604.0
smart,smart forTwo,2005.0,2999.0,61.0,Manual,Petrol,198000.0
peugeot,Peugeot 508,2023.0,47480.0,131.0,Automatic,Diesel,5.0
volkswagen,Volkswagen New Beetle,2008.0,6967.0,102.0,Manual,Petrol,158460.0
renault,Renault Megane,2017.0,13688.0,101.0,Manual,Petrol,72094.0
alfa-romeo,Alfa Romeo Giulia,2019.0,36000.0,200.0,Automatic,Petrol,29000.0
bmw,BMW 530,2019.0,37930.0,252.0,Automatic,Petrol,59999.0
maserati,Maserati Ghibli,2022.0,76990.0,330.0,Automatic,Petrol,1286.0
renault,Renault Scenic,2017.0,17700.0,132.0,Manual,Petrol,69800.0
lancia,Lancia Thema,2012.0,16990.0,239.0,Automatic,Diesel,69443.0
dacia,Dacia Duster,2018.0,14880.0,109.0,Manual,Diesel,82900.0
hyundai,Hyundai KONA,2019.0,16800.0,120.0,Manual,Petrol,35000.0
mitsubishi,Mitsubishi Outlander,2019.0,27950.0,135.0,Automatic,Hybrid,49461.0
bmw,BMW 118,2019.0,21450.0,140.0,Manual,Petrol,22500.0
hyundai,Hyundai i30,2013.0,9470.0,99.0,Manual,Petrol,51364.0
alfa-romeo,Alfa Romeo Tonale,2022.0,29970.0,156.0,Automatic,Petrol,10.0
ford,Ford Focus,2009.0,7200.0,101.0,Manual,Petrol,103000.0
audi,Audi TT,2020.0,31880.0,197.0,Automatic,Petrol,51464.0
